jabłko apple
leżeć lie
latać fly
pływać swim
prowadzić drive
jeździć ride
podróżować travel
odkrywać explore
odkrywać discover
znajdować find
gubić lose
ukrywać się hide
szukać seek
szukać search
śledzić follow
prowadzić lead
prowadzić guide
pokazywać show
ukrywać hide
przykrywać cover
odkrywać uncover
owijać wrap
rozpakować unwrap
pakować pack
rozpakować unpack
ułożyć arrange
organizować organize
bałagan mess
posprzątać clean
posprzątać tidy up
sortować sort
zamówić order
dezorganizacja disorder
mieszać mix
oddzielać separate
łączyć combine
dzielić divide
dzielić się share
trzymać keep
dawać give
otrzymywać receive
wysyłać send
otrzymać receive
otwierać open
zamykać close
zamykać shut
zamykać na klucz lock
otwierać unlock
wchodzić enter
wychodzić exit
opuszczać leave
zostawać stay
iść go
przyjść come
wracać return
odlatywać depart
przybyć arrive
odwiedzać visit
gościć host
gość guest
uczestniczyć attend
pomijać skip
tęsknić miss
spotykać meet
spotkanie encounter
twarz face
uśmiech smile
zmarszczyć brwi frown
śmiać się laugh
płakać cry
krzyczeć scream
krzyczeć shout
szeptać whisper
rozmawiać cicho talk quietly
krzyczeć yell
dzwonić call
odpowiadać answer
odpowiadać reply
pytać ask
pytanie question
zapytać inquire
zastanawiać się wonder
mówić tell
informować inform
informować informate
wyjaśniać explain
opisywać describe
definiować define
wspominać mention
dyskutować discuss
rozmawiać o talk about
kłócić się argue
debatować debate
przekonywać convince
przekonywać persuade
zgadzać się agree
nie zgadzać się disagree
sprzeciwiać się oppose
wspierać support
pomagać help
pomagać assist
pomoc aid
ratować rescue
uratować save
pocieszać comfort
pocieszać console
rozweselać cheer up
zachęcać encourage
motywować motivate
inspirować inspire
wpływać influence
wpływać impact
imponować impress
zdumiewać amaze
zadziwiać astonish
zaskakiwać surprise
szokować shock
przerażać scare
przestraszyć frighten
przerazić terrify
przerazający terrifying
przerażać horrify
budzić obrzydzenie disgust
rozczarować disappoint
smucić sadden
zmartwienie upset
martwić się worry
irytować annoy
przeszkadzać bother
irytować irritate
złościć anger
wściekać enrage
wściekłość rage
frustrować frustrate
stres stress
relaks relax
spokój calm
pokój peace
wojna war
bitwa battle
walka fight
konflikt conflict
zmagać się struggle
atak attack
obrona defend
chronić protect
szkodzić harm
boleć hurt
zranić injure
uszkodzić damage
zniszczyć destroy
zrujnować ruin
niszczyć devastate
odbudować rebuild
odbudować reconstruct
naprawić fix
naprawić mend
leczyć heal
lekarstwo cure
leczyć treat
lekarstwo medicine
lekarz doctor
pielęgniarka nurse
szpital hospital
klinika clinic
apteka pharmacy
dentysta dentist
okulista optometrist
chirurg surgeon
terapeuta therapist
psychiatra psychiatrist
psycholog psychologist
doradca counselor
doradca advisor
trener coach
trener trainer
mentor mentor
przewodnik guide
nauczyciel teacher
student student
uczeń pupil
uczeń learner
edukacja education
szkoła school
college college
uniwersytet university
klasa class
kurs course
lekcja lesson
wykład lecture
seminarium seminar
warsztaty workshop
korytarz study hall
biblioteka library
księgarnia bookstore
podręcznik textbook
zeszyt ćwiczeń workbook
notes notebook
laptop laptop
komputer computer
komputer stacjonarny desktop
monitor monitor
klawiatura keyboard
myszka mouse
drukarka printer
skaner scanner
projektor projector
ekran screen
oprogramowanie software
program program
aplikacja application
aplikacja app
strona internetowa website
strona internetowa webpage
web web
internet internet
online online
offline offline
połączenie connection
sieć network
wifi wifi
bluetooth bluetooth
kabel cable
przewód cord
ładowarka charger
bateria battery
wtyczka plug
gniazdko socket
przełącznik switch
przycisk button
kliknąć click
stuknąć tap
przewijać scroll
